"date_sk","date","year","trimestre","month","day","version","date_from","date_to"
110,"1996-10-17 00:00:00",1996,4,10,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
111,"1996-10-18 00:00:00",1996,4,10,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
112,"1996-10-19 00:00:00",1996,4,10,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
113,"1996-10-20 00:00:00",1996,4,10,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
114,"1996-10-21 00:00:00",1996,4,10,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
115,"1996-10-22 00:00:00",1996,4,10,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
116,"1996-10-23 00:00:00",1996,4,10,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
117,"1996-10-24 00:00:00",1996,4,10,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
118,"1996-10-25 00:00:00",1996,4,10,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
119,"1996-10-26 00:00:00",1996,4,10,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
120,"1996-10-27 00:00:00",1996,4,10,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
121,"1996-10-28 00:00:00",1996,4,10,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
122,"1996-10-29 00:00:00",1996,4,10,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
123,"1996-10-30 00:00:00",1996,4,10,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
124,"1996-10-31 00:00:00",1996,4,10,31,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
125,"1996-11-01 00:00:00",1996,4,11,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
126,"1996-11-02 00:00:00",1996,4,11,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
127,"1996-11-03 00:00:00",1996,4,11,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
128,"1996-11-04 00:00:00",1996,4,11,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
129,"1996-11-05 00:00:00",1996,4,11,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
130,"1996-11-06 00:00:00",1996,4,11,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
131,"1996-11-07 00:00:00",1996,4,11,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
132,"1996-11-08 00:00:00",1996,4,11,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
133,"1996-11-09 00:00:00",1996,4,11,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
134,"1996-11-10 00:00:00",1996,4,11,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
135,"1996-11-11 00:00:00",1996,4,11,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
136,"1996-11-12 00:00:00",1996,4,11,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
137,"1996-11-13 00:00:00",1996,4,11,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
138,"1996-11-14 00:00:00",1996,4,11,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
139,"1996-11-15 00:00:00",1996,4,11,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
140,"1996-11-16 00:00:00",1996,4,11,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
141,"1996-11-17 00:00:00",1996,4,11,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
142,"1996-11-18 00:00:00",1996,4,11,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
143,"1996-11-19 00:00:00",1996,4,11,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
144,"1996-11-20 00:00:00",1996,4,11,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
145,"1996-11-21 00:00:00",1996,4,11,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
146,"1996-11-22 00:00:00",1996,4,11,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
147,"1996-11-23 00:00:00",1996,4,11,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
148,"1996-11-24 00:00:00",1996,4,11,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
149,"1996-11-25 00:00:00",1996,4,11,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
150,"1996-11-26 00:00:00",1996,4,11,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
151,"1996-11-27 00:00:00",1996,4,11,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
152,"1996-11-28 00:00:00",1996,4,11,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
153,"1996-11-29 00:00:00",1996,4,11,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
154,"1996-11-30 00:00:00",1996,4,11,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
155,"1996-12-01 00:00:00",1996,4,12,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
156,"1996-12-02 00:00:00",1996,4,12,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
157,"1996-12-03 00:00:00",1996,4,12,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
158,"1996-12-04 00:00:00",1996,4,12,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
159,"1996-12-05 00:00:00",1996,4,12,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
160,"1996-12-06 00:00:00",1996,4,12,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
161,"1996-12-07 00:00:00",1996,4,12,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
162,"1996-12-08 00:00:00",1996,4,12,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
163,"1996-12-09 00:00:00",1996,4,12,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
164,"1996-12-10 00:00:00",1996,4,12,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
165,"1996-12-11 00:00:00",1996,4,12,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
166,"1996-12-12 00:00:00",1996,4,12,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
167,"1996-12-13 00:00:00",1996,4,12,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
168,"1996-12-14 00:00:00",1996,4,12,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
169,"1996-12-15 00:00:00",1996,4,12,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
170,"1996-12-16 00:00:00",1996,4,12,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
171,"1996-12-17 00:00:00",1996,4,12,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
172,"1996-12-18 00:00:00",1996,4,12,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
173,"1996-12-19 00:00:00",1996,4,12,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
174,"1996-12-20 00:00:00",1996,4,12,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
175,"1996-12-21 00:00:00",1996,4,12,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
176,"1996-12-22 00:00:00",1996,4,12,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
177,"1996-12-23 00:00:00",1996,4,12,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
178,"1996-12-24 00:00:00",1996,4,12,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
179,"1996-12-25 00:00:00",1996,4,12,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
180,"1996-12-26 00:00:00",1996,4,12,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
181,"1996-12-27 00:00:00",1996,4,12,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
182,"1996-12-28 00:00:00",1996,4,12,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
183,"1996-12-29 00:00:00",1996,4,12,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
184,"1996-12-30 00:00:00",1996,4,12,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
185,"1996-12-31 00:00:00",1996,4,12,31,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
186,"1997-01-01 00:00:00",1997,1,1,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
187,"1997-01-02 00:00:00",1997,1,1,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
188,"1997-01-03 00:00:00",1997,1,1,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
189,"1997-01-04 00:00:00",1997,1,1,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
190,"1997-01-05 00:00:00",1997,1,1,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
191,"1997-01-06 00:00:00",1997,1,1,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
192,"1997-01-07 00:00:00",1997,1,1,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
193,"1997-01-08 00:00:00",1997,1,1,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
194,"1997-01-09 00:00:00",1997,1,1,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
195,"1997-01-10 00:00:00",1997,1,1,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
196,"1997-01-11 00:00:00",1997,1,1,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
197,"1997-01-12 00:00:00",1997,1,1,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
198,"1997-01-13 00:00:00",1997,1,1,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
199,"1997-01-14 00:00:00",1997,1,1,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
200,"1997-01-15 00:00:00",1997,1,1,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
201,"1997-01-16 00:00:00",1997,1,1,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
202,"1997-01-17 00:00:00",1997,1,1,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
203,"1997-01-18 00:00:00",1997,1,1,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
204,"1997-01-19 00:00:00",1997,1,1,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
205,"1997-01-20 00:00:00",1997,1,1,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
206,"1997-01-21 00:00:00",1997,1,1,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
207,"1997-01-22 00:00:00",1997,1,1,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
208,"1997-01-23 00:00:00",1997,1,1,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
209,"1997-01-24 00:00:00",1997,1,1,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
210,"1997-01-25 00:00:00",1997,1,1,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
211,"1997-01-26 00:00:00",1997,1,1,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
